1, 1, 60, 56, 61, 7, 7, 31, 1, 1, 62, 63, 7, 7, 7, 22, 
1, 1, 28, 64, 7, 10, 65, 66, 1, 1, 1, 1, 67, 68, 69, 60, 
1, 1, 1, 1, 1, 1, 1, 70, 1, 1, 1, 1, 1, 1, 1, 71, 



1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 8, 2, 3, 9, 10, 
14, 1, 3, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 
1, 33, 34, 35, 36, 36, 37, 38, 1, 41, 36, 36, 36, 36, 41, 35, 
43, 44, 45, 46, 35, 36, 36, 47, 49, 50, 51, 52, 36, 36, 36, 53, 
3, 1, 1, 4, 5, 6, 7, 7, 11, 1, 1, 12, 13, 6, 7, 7, 
1, 1, 20, 21, 7, 7, 7, 7, 30, 31, 32, 7, 7, 7, 7, 7, 
39, 40, 7, 7, 7, 7, 7, 7, 42, 7, 7, 7, 7, 7, 7, 7, 
48, 7, 7, 7, 7, 7, 7, 7, 54, 6, 7, 7, 7, 7, 7, 7, 
1, 2, 55, 56, 36, 36, 36, 57, 1, 1, 60, 34, 36, 35, 36, 61, 
2, 2, 63, 64, 36, 36, 65, 66, 67, 68, 69, 47, 36, 70, 71, 59, 
72, 73, 74, 75, 76, 77, 6, 7, 1, 78, 79, 80, 81, 82, 7, 7, 
83, 84, 85, 86, 6, 7, 7, 7, 87, 59, 88, 6, 6, 7, 7, 7, 
58, 59, 7, 7, 7, 7, 7, 7, 62, 7, 7, 7, 7, 7, 7, 7, 
6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 
7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 
7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 












